ramz_code,ramz_id,ramz_link,bac_type_id,bac_type_name,university_id,university_name,table_specialization,table_institution,table_location,table_criteria,field_of_study,seven_percent,specialty,specialty_code,minimum_bac_average,data_source,program_description,duration,admission_requirements,historical_scores_2011,historical_scores_2012,historical_scores_2013,historical_scores_2014,historical_scores_2015,historical_scores_2016,historical_scores_2017,historical_scores_2018,historical_scores_2019,historical_scores_2020,historical_scores_2021,historical_scores_2022,historical_scores_2023,historical_scores_2024,additional_requirements,contact_info,formula_explanation,notes,data_sources
10101,110101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=110101,1,آداب,01,جامعة تونس,الإجازة في العربية,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,FG+AR,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,,,,,,,,94.5,96.725,95.7,92.8665,97.25,100.825,97.1418,99.245,96.7422,102.4258,100.58,98.1618,95.6117,97.875,,,,,
10101,310101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=310101,3,علوم تجريبية,01,جامعة تونس,الإجازة في العربية,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,FG+AR,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.495,114.2279,108.52,113.8213,129.1169,130.9413,,,,,
10101,410101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=410101,4,إقتصاد وتصرف,01,جامعة تونس,الإجازة في العربية,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,FG+AR,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.3632,87.2818,84.9082,97.89,86.7539,73.8752,,,,,
10101,210101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=210101,2,رياضيات,01,جامعة تونس,الإجازة في العربية,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,FG+AR,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.441,107.428,138.1745,115.3728,0.0,0.0,,,,,
10101,610101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=610101,6,علوم الإعلامية,01,جامعة تونس,الإجازة في العربية,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,FG+AR,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.2666,0.0,85.2584,113.3344,147.9275,98.1888,,,,,
10102,110102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=110102,1,آداب,01,جامعة تونس,الإجازة في الإنقليزية,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,FG+ANG,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10102,115.426,scores_csv,الإجازة في الإنقليزية 3 سنوات (امد),3 سنوات,,103.55,114.276,104.5035,104.0998,108.9084,114.4098,113.9102,114.8076,116.8517,107.7276,116.025,109.9199,112.1467,115.4263,,,,,"finale-data, manual-scores_csv"
10102,310102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=310102,3,علوم تجريبية,01,جامعة تونس,الإجازة في الإنقليزية,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,FG+ANG,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10102,151.817,extracted,الإجازة في الإنقليزية 3 سنوات (امد),3 سنوات,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.9445,126.675,137.4041,129.01,142.7327,151.817,,,,,"finale-data, manual-extracted"
10102,510102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=510102,5,العلوم التقنية,01,جامعة تونس,الإجازة في الإنقليزية,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,FG+ANG,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10102,122.966,extracted,الإجازة في الإنقليزية 3 سنوات (امد),3 سنوات,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.2262,125.3238,135.6332,135.54,118.555,122.9663,,,,,"finale-data, manual-extracted"
10102,410102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=410102,4,إقتصاد وتصرف,01,جامعة تونس,الإجازة في الإنقليزية,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,FG+ANG,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10102,107.594,extracted,الإجازة في الإنقليزية 3 سنوات (امد),3 سنوات,,78.0761,72.2083,95.7635,65.6212,84.1181,102.5503,91.4851,86.9588,91.8384,92.9067,78.1901,114.5649,91.4209,107.5939,,,,,"finale-data, manual-extracted"
10102,210102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=210102,2,رياضيات,01,جامعة تونس,الإجازة في الإنقليزية,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,FG+ANG,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10102,110.404,extracted,الإجازة في الإنقليزية 3 سنوات (امد),3 سنوات,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0475,122.5917,143.79,152.6195,155.2196,110.4043,,,,,"finale-data, manual-extracted"
10102,910102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=910102,9,رياضة,01,جامعة تونس,الإجازة في الإنقليزية,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,FG+ANG,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10102,143.525,extracted,الإجازة في الإنقليزية 3 سنوات (امد),3 سنوات,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.15,0.0,176.41,84.9293,116.2662,143.5245,,,,,"finale-data, manual-extracted"
10102,610102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=610102,6,علوم الإعلامية,01,جامعة تونس,الإجازة في الإنقليزية,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,FG+ANG,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10102,115.94,extracted,الإجازة في الإنقليزية 3 سنوات (امد),3 سنوات,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.137,99.8781,125.6635,133.6591,153.6574,115.9397,,,,,"finale-data, manual-extracted"
10103,610103,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=610103,6,علوم الإعلامية,01,جامعة تونس,الإجازة في الفرنسية,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,FG+F,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10103,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.7238,128.0362,102.6451,120.2948,154.8504,110.3652,,,,,finale-data
10103,510103,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=510103,5,العلوم التقنية,01,جامعة تونس,الإجازة في الفرنسية,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,FG+F,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10103,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0747,112.9259,121.43,89.8449,106.5471,102.9515,,,,,finale-data
10103,310103,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=310103,3,علوم تجريبية,01,جامعة تونس,الإجازة في الفرنسية,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,FG+F,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10103,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.4047,124.4517,119.8,119.412,147.3283,115.1036,,,,,finale-data
10103,410103,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=410103,4,إقتصاد وتصرف,01,جامعة تونس,الإجازة في الفرنسية,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,FG+F,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10103,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.7551,83.4217,78.3949,81.3517,80.3931,79.237,,,,,finale-data
10103,910103,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=910103,9,رياضة,01,جامعة تونس,الإجازة في الفرنسية,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,FG+F,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10103,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.8741,155.34,108.5462,,,,,finale-data
10103,210103,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=210103,2,رياضيات,01,جامعة تونس,الإجازة في الفرنسية,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,FG+F,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10103,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.97,0.0,107.2586,121.2218,156.6159,0.0,,,,,finale-data
10103,110103,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=110103,1,آداب,01,جامعة تونس,الإجازة في الفرنسية,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,FG+F,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10103,,,,,,94.6917,93.8,89.1,81.5877,78.8667,92.6164,82.5541,97.2273,82.1868,74.5981,75.963,71.6818,71.7734,76.2884,,,,,finale-data
10104,310104,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=310104,3,علوم تجريبية,02,جامعة منوبة,الإجازة في الإسبانية,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,FG+ESP,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10104,118.03,extracted,"3 سنوات (آمد), إسبانية إجبارية",3 سنوات,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.4134,126.6131,152.5713,118.03,128.4428,129.9569,,,,,"finale-data, manual-extracted"
10104,510104,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=510104,5,العلوم التقنية,02,جامعة منوبة,الإجازة في الإسبانية,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,FG+ESP,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10104,116.77,extracted,"3 سنوات (آمد), إسبانية إجبارية",3 سنوات,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.7173,118.2136,120.84,125.7678,116.77,0.0,,,,,"finale-data, manual-extracted"
10104,110104,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=110104,1,آداب,02,جامعة منوبة,الإجازة في الإسبانية,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,FG+ESP,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10104,78.3633,extracted,"3 سنوات (آمد), إسبانية إجبارية",3 سنوات,,83.6667,102.55,94.9358,75.5503,83.6419,105.3683,94.0298,81.7443,88.9049,80.2816,82.6816,81.6586,78.3633,89.8317,,,,,"finale-data, manual-extracted"
10104,910104,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=910104,9,رياضة,02,جامعة منوبة,الإجازة في الإسبانية,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,FG+ESP,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10104,,extracted,"3 سنوات (آمد), إسبانية إجبارية",3 سنوات,,185.57142857142856,269.2857142857143,353.0,436.71428571428567,520.4285714285713,604.1428571428571,687.8571428571428,771.5714285714286,855.2857142857142,938.9999999999999,1022.7142857142856,1106.4285714285713,1190.142857142857,45.0,,,,,"finale-data, manual-extracted"
10104,210104,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=210104,2,رياضيات,02,جامعة منوبة,الإجازة في الإسبانية,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,FG+ESP,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10104,102.2235,extracted,"3 سنوات (آمد), إسبانية إجبارية",3 سنوات,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.2667,116.0665,140.5873,116.765,102.2235,127.5066,,,,,"finale-data, manual-extracted"
10104,410104,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=410104,4,إقتصاد وتصرف,02,جامعة منوبة,الإجازة في الإسبانية,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,FG+ESP,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10104,95.6259,extracted,"3 سنوات (آمد), إسبانية إجبارية",3 سنوات,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.8984,117.1079,113.4414,120.9028,95.6259,106.3848,,,,,"finale-data, manual-extracted"
10104,610104,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=610104,6,علوم الإعلامية,02,جامعة منوبة,الإجازة في الإسبانية,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,FG+ESP,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10104,93.4782,extracted,"3 سنوات (آمد), إسبانية إجبارية",3 سنوات,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.1321,93.4782,133.2311,0.0,,,,,"finale-data, manual-extracted"
10105,610105,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=610105,6,علوم الإعلامية,02,جامعة منوبة,الإجازة في الإيطالية,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,FG+IT,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10105,97.7552,extracted,,3 سنوات (آمد),إيطالية إجبارية,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.9051,105.2625,99.3495,97.7552,107.7,124.853,,,,,"finale-data, manual-extracted"
10105,510105,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=510105,5,العلوم التقنية,02,جامعة منوبة,الإجازة في الإيطالية,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,FG+IT,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10105,94.775,extracted,,3 سنوات (آمد),إيطالية إجبارية,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.5659,127.437,122.7237,122.8521,142.3796,94.775,,,,,"finale-data, manual-extracted"
10105,110105,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=110105,1,آداب,02,جامعة منوبة,الإجازة في الإيطالية,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,FG+IT,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10105,93.4468,extracted,,3 سنوات (آمد),إيطالية إجبارية,98.8915,107.5,100.025,85.4393,104.2985,105.814,90.1284,105.5464,99.8899,86.2384,97.4315,93.4468,98.8912,100.0434,,,,,"finale-data, manual-extracted"
10105,910105,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=910105,9,رياضة,02,جامعة منوبة,الإجازة في الإيطالية,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,FG+IT,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10105,,extracted,,3 سنوات (آمد),إيطالية إجبارية,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"finale-data, manual-extracted"
10105,210105,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=210105,2,رياضيات,02,جامعة منوبة,الإجازة في الإيطالية,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,FG+IT,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10105,141.925,extracted,,3 سنوات (آمد),إيطالية إجبارية,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.3441,0.0,138.2708,141.925,0.0,0.0,,,,,"finale-data, manual-extracted"
10105,410105,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=410105,4,إقتصاد وتصرف,02,جامعة منوبة,الإجازة في الإيطالية,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,FG+IT,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10105,88.6479,extracted,,3 سنوات (آمد),إيطالية إجبارية,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.449,103.453,97.9933,105.9514,88.6479,90.9769,,,,,"finale-data, manual-extracted"
10105,310105,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=310105,3,علوم تجريبية,02,جامعة منوبة,الإجازة في الإيطالية,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,FG+IT,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10105,112.065,extracted,,3 سنوات (آمد),إيطالية إجبارية,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.6738,111.3461,134.57,140.919,112.065,134.2957,,,,,"finale-data, manual-extracted"
10106,210106,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=210106,2,رياضيات,02,جامعة منوبة,الإجازة في الألمانية,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,FG+ALL,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10106,123.2462,extracted,,3 سنوات (آمد),ألمانية إجبارية,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.8945,0.0,140.5124,145.3221,123.2462,157.8999,,,,,"finale-data, manual-extracted"
10106,610106,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=610106,6,علوم الإعلامية,02,جامعة منوبة,الإجازة في الألمانية,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,FG+ALL,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10106,97.9639,extracted,,3 سنوات (آمد),ألمانية إجبارية,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.6309,117.0206,0.0,97.9639,101.0563,,,,,"finale-data, manual-extracted"
10106,110106,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=110106,1,آداب,02,جامعة منوبة,الإجازة في الألمانية,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,FG+ALL,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10106,78.1,extracted,,3 سنوات (آمد),ألمانية إجبارية,90.225,105.386,85.1919,73.1002,88.8248,99.7776,80.315,85.4181,97.0382,86.1261,78.69,78.1,88.2051,93.0132,,,,,"finale-data, manual-extracted"
10106,410106,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=410106,4,إقتصاد وتصرف,02,جامعة منوبة,الإجازة في الألمانية,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,FG+ALL,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10106,82.9268,extracted,,3 سنوات (آمد),ألمانية إجبارية,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.5952,94.3063,93.971,82.9268,89.9689,101.2454,,,,,"finale-data, manual-extracted"
10106,510106,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=510106,5,العلوم التقنية,02,جامعة منوبة,الإجازة في الألمانية,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,FG+ALL,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10106,106.802,extracted,,3 سنوات (آمد),ألمانية إجبارية,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.6983,112.441,124.2377,121.2,108.7268,106.8021,,,,,"finale-data, manual-extracted"
10106,310106,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=310106,3,علوم تجريبية,02,جامعة منوبة,الإجازة في الألمانية,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,FG+ALL,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10106,129.882,extracted,,3 سنوات (آمد),ألمانية إجبارية,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.4576,106.0762,152.031,138.3778,139.5441,129.882,,,,,"finale-data, manual-extracted"
10106,910106,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=910106,9,رياضة,02,جامعة منوبة,الإجازة في الألمانية,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,FG+ALL,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,yes,اللغة والآداب والحضارة,10106,,extracted,,3 سنوات (آمد),ألمانية إجبارية,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"finale-data, manual-extracted"
10107,510107,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=510107,5,العلوم التقنية,04,جامعة  قرطاج,الإجازة في الروسية,المعهد العالي للغات بتونس,تونس,FG+(AR+ANG+F)/3,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,no,اللغة والآداب والحضارة,10107,96.4338,extracted,,3 سنوات (آمد),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.105,0.0,93.8523,96.4338,96.7288,103.9764,,,,,"finale-data, manual-extracted"
10107,210107,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=210107,2,رياضيات,04,جامعة  قرطاج,الإجازة في الروسية,المعهد العالي للغات بتونس,تونس,FG+(AR+ANG+F)/3,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,no,اللغة والآداب والحضارة,10107,111.52,extracted,,3 سنوات (آمد),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0055,105.2776,103.8808,134.1533,111.52,134.7517,,,,,"finale-data, manual-extracted"
10107,610107,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=610107,6,علوم الإعلامية,04,جامعة  قرطاج,الإجازة في الروسية,المعهد العالي للغات بتونس,تونس,FG+(AR+ANG+F)/3,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,no,اللغة والآداب والحضارة,10107,89.321,extracted,,3 سنوات (آمد),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.4067,,,,,"finale-data, manual-extracted"
10107,410107,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=410107,4,إقتصاد وتصرف,04,جامعة  قرطاج,الإجازة في الروسية,المعهد العالي للغات بتونس,تونس,FG+(AR+ANG+F)/3,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,no,اللغة والآداب والحضارة,10107,74.624,extracted,,3 سنوات (آمد),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.6783,85.2541,80.9305,81.6651,80.5277,74.6244,,,,,"finale-data, manual-extracted"
10107,310107,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=310107,3,علوم تجريبية,04,جامعة  قرطاج,الإجازة في الروسية,المعهد العالي للغات بتونس,تونس,FG+(AR+ANG+F)/3,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,no,اللغة والآداب والحضارة,10107,113.6017,extracted,,3 سنوات (آمد),,198.07142857142856,280.7857142857143,363.5,446.21428571428567,528.9285714285713,611.6428571428571,694.3571428571428,777.0714285714286,859.7857142857142,942.4999999999999,1025.2142857142856,1107.9285714285713,1190.642857142857,59.0,,,,,"finale-data, manual-extracted"
10107,910107,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=910107,9,رياضة,04,جامعة  قرطاج,الإجازة في الروسية,المعهد العالي للغات بتونس,تونس,FG+(AR+ANG+F)/3,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,no,اللغة والآداب والحضارة,10107,,extracted,,3 سنوات (آمد),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.321,144.28,0.0,,,,,"finale-data, manual-extracted"
10107,110107,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=110107,1,آداب,04,جامعة  قرطاج,الإجازة في الروسية,المعهد العالي للغات بتونس,تونس,FG+(AR+ANG+F)/3,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,no,اللغة والآداب والحضارة,10107,76.938,extracted,,3 سنوات (آمد),,86.2582,90.25,86.475,82.05,86.3834,88.3,84.925,82.0298,86.5454,76.5743,85.4852,83.5499,80.9145,76.9383,,,,,"finale-data, manual-extracted"
10108,410108,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=410108,4,إقتصاد وتصرف,04,جامعة  قرطاج,الإجازة في الصينية,المعهد العالي للغات بتونس,تونس,FG+(AR+ANG+F)/3,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,no,اللغة والآداب والحضارة,10108,74.8498,extracted,,3 سنوات (آمد),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0898,105.2533,95.5627,94.3607,74.8498,82.5579,,,,,"finale-data, manual-extracted"
